GP,Date,Time,game_location,Opponent,game_outcome,overtimes,Tm,Opp,W,L,Streak,Notes
1,2015-04-15,8:30 PM,@,Nashville Predators,W,2OT,4,3,1,0,W 1,
2,2015-04-17,9:30 PM,@,Nashville Predators,L,,2,6,1,1,L 1,
3,2015-04-19,3:00 PM,,Nashville Predators,W,,4,2,2,1,W 1,
4,2015-04-21,9:30 PM,,Nashville Predators,W,3OT,3,2,3,1,W 2,
5,2015-04-23,9:30 PM,@,Nashville Predators,L,,2,5,3,2,L 1,
6,2015-04-25,8:00 PM,,Nashville Predators,W,,4,3,4,2,W 1,
7,2015-05-01,9:30 PM,,Minnesota Wild,W,,4,3,5,2,W 2,
8,2015-05-03,8:30 PM,,Minnesota Wild,W,,4,1,6,2,W 3,
9,2015-05-05,8:00 PM,@,Minnesota Wild,W,,1,0,7,2,W 4,
10,2015-05-07,9:30 PM,@,Minnesota Wild,W,,4,3,8,2,W 5,
11,2015-05-17,3:00 PM,@,Anaheim Ducks,L,,1,4,8,3,L 1,
12,2015-05-19,9:00 PM,@,Anaheim Ducks,W,3OT,3,2,9,3,W 1,
13,2015-05-21,8:00 PM,,Anaheim Ducks,L,,1,2,9,4,L 1,
14,2015-05-23,8:00 PM,,Anaheim Ducks,,,,,,,,
15,2015-05-25,9:00 PM,@,Anaheim Ducks,,,,,,,,
16,2015-05-27,8:00 PM,,Anaheim Ducks,,,,,,,,
17,2015-05-30,8:00 PM,@,Anaheim Ducks,,,,,,,,
